floor,floors_count,price,rooms_count,total_meters,year_of_construction
10,10,3230000,1.0,33.0,2007
9,10,3200000,1.0,32.4,2023
17,17,3200000,1.0,24.0,2016
2,4,3200000,1.0,39.0,2014
4,6,3200000,1.0,25.0,2015
3,9,3200000,1.0,32.5,2023
12,23,3210000,1.0,26.0,2026
5,10,3290000,1.0,32.0,2023
9,10,3290000,1.0,32.0,2020
10,12,3250000,1.0,30.0,2007
3,17,3250000,1.0,20.4,2024
9,18,3290000,1.0,26.4,2024
7,12,3270000,1.0,27.0,2019
3,10,3250000,1.0,39.0,2018
4,10,3300000,1.0,32.4,2024
10,10,3300000,1.0,32.0,2024
4,10,3300000,1.0,28.0,2013
9,10,3300000,1.0,31.1,2016
8,10,3300000,1.0,32.7,2012
8,17,3300000,1.0,25.3,2025
10,18,3300000,1.0,22.8,2017
13,17,3300000,1.0,20.9,2010
2,3,3300000,1.0,36.5,2018
15,24,3300000,1.0,32.0,2024
2,17,3300000,1.0,23.0,2023
8,10,3300000,1.0,32.4,2010
8,24,3380000,1.0,25.0,2024
5,10,3350000,1.0,32.5,2012
8,10,3350000,1.0,33.0,2011
7,18,3399000,1.0,26.0,2017
2,10,3350000,1.0,32.5,2007
1,5,3350000,1.0,17.2,1989
8,9,3350000,1.0,21.0,2007
6,19,3360000,1.0,27.2,2027
17,18,3350000,1.0,25.7,2024
25,25,3400000,1.0,25.0,2020
5,10,3400000,1.0,32.5,2013
4,17,3420000,1.0,23.8,2016
10,12,3400000,1.0,25.7,2017
12,17,3400000,1.0,21.1,2015
18,27,3400000,1.0,34.0,2023
2,6,3400000,1.0,24.0,2014
11,13,3400000,1.0,25.7,2020
5,10,3480000,1.0,33.6,2014
17,17,3499000,1.0,25.1,2023
15,19,3450000,1.0,24.54,2026
10,10,3450000,1.0,39.0,2020
1,20,3490000,1.0,22.0,2027
5,17,3500000,1.0,30.0,2022
15,17,3500000,1.0,27.0,2016
2,9,3500000,1.0,29.4,2015
4,24,3500000,1.0,29.8,2022
15,17,3500000,1.0,20.0,2023
5,10,3500000,1.0,32.0,2007
7,10,3500000,1.0,32.6,2025
3,17,3540000,1.0,28.6,2023
1,4,3500000,1.0,86.0,2007
7,24,3500000,1.0,30.7,2024
4,17,3500000,1.0,30.0,2017
14,17,3500000,1.0,25.7,2021
8,24,3500000,1.0,25.0,2023
1,16,3500000,1.0,23.0,2016
5,10,3500000,1.0,39.0,2024
17,18,3500000,1.0,27.0,2015
3,3,3500000,1.0,24.7,1988
3,5,3500000,1.0,18.6,2021
8,17,3500000,1.0,23.5,2014
16,17,3500000,1.0,25.0,2009
6,10,3520000,1.0,34.0,2007
15,25,3500000,1.0,30.0,2015
10,10,3500000,1.0,33.0,2024
3,3,3500000,1.0,38.0,2007
3,10,3500000,1.0,39.02,2024
6,7,3500000,1.0,24.2,2014
10,23,3500000,1.0,30.6,2020
8,16,3590000,1.0,26.6,2023
9,20,3550000,1.0,21.2,2007
9,17,3580000,1.0,29.2,2024
11,17,3599000,1.0,30.0,2023
17,17,3550000,1.0,28.0,2009
6,10,3550000,1.0,33.0,2012
2,12,3577800,1.0,26.7,2024
11,17,3579680,1.0,26.74,2025
10,10,3590000,1.0,32.4,2009
5,6,3600000,1.0,24.2,2016
4,10,3600000,1.0,21.2,2015
8,19,3600000,1.0,23.1,2015
5,17,3600000,1.0,23.8,2016
7,10,3600000,1.0,33.6,2024
7,17,3600000,1.0,26.6,2023
5,23,3627910,1.0,25.37,2026
16,24,3600000,1.0,26.6,2022
4,17,3620000,1.0,25.0,2007
9,18,3600000,1.0,25.0,2015
12,12,3600000,1.0,27.0,2019
16,17,3650000,1.0,27.1,2025
4,17,3650000,1.0,25.0,2024
8,19,3650000,1.0,23.1,2015
8,25,3690000,1.0,30.7,2023
10,10,3699999,1.0,39.0,2024
21,25,3650000,1.0,30.4,2023
6,23,3689400,1.0,25.8,2026
3,25,3650000,1.0,27.54,2027
4,26,3650000,1.0,27.54,2027
1,25,3650000,1.0,28.0,2027
2,17,3700000,1.0,25.4,2009
13,17,3700000,1.0,20.7,2014
1,12,3700000,1.0,23.8,2007
4,7,3700000,1.0,26.3,2023
6,19,3700000,1.0,21.3,2015
