iter	Passed	Remaining
1228	40657	356327
1229	40693	356315
1230	40727	356295
1231	40762	356271
1232	40795	356241
1233	40829	356219
1234	40863	356191
1235	40897	356169
1236	40931	356144
1237	40965	356112
1238	40999	356086
1239	41033	356064
1240	41067	356039
1241	41101	356011
1242	41133	355973
1243	41166	355941
1244	41200	355915
1245	41234	355883
1246	41267	355857
1247	41301	355828
1248	41336	355810
1249	41369	355780
1250	41404	355758
1251	41439	355742
1252	41472	355713
1253	41506	355682
1254	41539	355647
1255	41570	355604
1256	41604	355576
1257	41637	355539
1258	41671	355516
1259	41705	355487
1260	41738	355460
1261	41773	355440
1262	41808	355423
1263	41841	355388
1264	41875	355359
1265	41910	355345
1266	41945	355325
1267	41977	355288
1268	42009	355245
1269	42043	355216
1270	42076	355181
1271	42110	355155
1272	42143	355126
1273	42176	355088
1274	42209	355056
1275	42243	355034
1276	42277	355007
1277	42311	354983
1278	42345	354954
1279	42379	354931
1280	42413	354901
1281	42447	354876
1282	42481	354848
1283	42514	354818
1284	42548	354791
1285	42583	354777
1286	42618	354754
1287	42651	354726
1288	42688	354721
1289	42724	354709
1290	42760	354699
1291	42795	354684
1292	42829	354658
1293	42866	354661
1294	42904	354663
1295	42939	354650
1296	42973	354623
1297	43007	354594
1298	43040	354565
1299	43074	354532
1300	43109	354516
1301	43143	354490
1302	43177	354466
1303	43212	354448
1304	43246	354419
1305	43280	354397
1306	43311	354347
1307	43349	354354
1308	43384	354335
1309	43418	354309
1310	43446	354232
1311	43478	354190
1312	43512	354167
1313	43546	354135
1314	43580	354108
1315	43613	354080
1316	43647	354052
1317	43681	354024
1318	43716	354003
1319	43748	353967
1320	43780	353920
1321	43813	353886
1322	43848	353866
1323	43881	353839
1324	43915	353813
1325	43951	353802
1326	43986	353781
1327	44020	353752
1328	44053	353720
1329	44086	353682
1330	44119	353649
1331	44152	353616
1332	44185	353582
1333	44218	353552
1334	44252	353520
1335	44285	353490
1336	44317	353447
1337	44352	353426
1338	44386	353401
1339	44420	353371
1340	44453	353337
1341	44486	353305
1342	44520	353279
1343	44553	353242
1344	44587	353219
1345	44623	353209
1346	44658	353189
1347	44692	353165
1348	44728	353152
1349	44763	353135
1350	44799	353120
1351	44833	353100
1352	44866	353065
1353	44901	353040
1354	44934	353011
1355	44969	352986
1356	45002	352954
1357	45035	352923
1358	45068	352889
1359	45102	352860
1360	45136	352833
1361	45171	352815
1362	45206	352793
1363	45238	352757
1364	45273	352737
