author_type,district,floor,kitchen_meters,price,rooms_count,year_of_construction
2.0,3.3,1.0,4.0,5200000.0,1.0,2017
2.0,2.5,10.0,5.378,4625080.0,1.0,2026
2.0,4.0,23.0,3.0,5250000.0,1.0,2025
2.0,2.5,4.0,10.0,6600000.0,1.0,2019
4.0,3.8,18.0,2.0,4735250.0,1.0,2026
5.0,2.5,13.0,6.0,7400000.0,1.0,2027
5.0,3.8,2.0,10.0,15975000.0,1.0,2023
4.0,3.8,27.0,8.872,11200000.0,1.0,2027
2.0,3.7,3.0,2.6999999999999993,1700000.0,1.0,1973
2.0,3.7,3.0,2.0,1200000.0,1.0,2017
4.0,4.0,16.0,4.3,18650000.0,1.0,2028
2.0,3.7,2.0,2.0,1450000.0,1.0,2017
4.0,3.4,10.0,5.188000000000001,5800000.0,1.0,2027
4.0,4.0,3.0,5.6,6300000.0,1.0,2025
2.0,4.4,11.0,5.0,2000000.0,1.0,2010
4.0,3.7,5.0,13.8,7110000.0,1.0,2026
2.0,4.0,1.0,4.0,2350000.0,1.0,1964
4.0,3.7,3.0,5.0,4400000.0,1.0,2025
2.0,2.9,6.0,3.0,4499000.0,1.0,2015
4.0,4.0,23.0,7.1,20200000.0,1.0,2028
2.0,4.0,6.0,4.960000000000001,3600000.0,1.0,2022
2.0,4.4,13.0,3.0,4100000.0,1.0,2016
4.0,2.9,8.0,5.0,6355950.0,1.0,2026
4.0,3.7,16.0,5.0,4750000.0,1.0,2028
2.0,3.3,10.0,4.0,3550000.0,1.0,2010
2.0,4.0,11.0,5.0,4600000.0,1.0,2014
4.0,3.4,3.0,4.4,6300000.0,1.0,2027
2.0,4.0,18.0,4.0,5390000.0,1.0,2025
4.0,2.9,1.0,5.0,6150900.0,1.0,2026
2.0,2.9,9.0,5.0,3350000.0,1.0,2025
4.0,3.7,2.0,5.6,4250000.0,1.0,2028
2.0,3.7,1.0,7.8,3480000.0,1.0,2017
2.0,4.4,2.0,4.920000000000001,3500000.0,1.0,2013
4.0,3.9,16.0,6.0600000000000005,7800000.0,1.0,2024
2.0,3.7,6.0,3.5,3400000.0,1.0,2024
2.0,3.3,5.0,5.0,4050000.0,1.0,2025
4.0,3.7,9.0,4.9,4450000.0,1.0,2028
2.0,2.5,6.0,3.0,4800000.0,1.0,2020
4.0,2.5,4.0,5.0,5360000.0,1.0,2028
2.0,2.5,6.0,4.4,3100000.0,1.0,2024
2.0,2.5,13.0,5.506,4707630.0,1.0,2026
4.0,3.4,4.0,17.72,5817800.0,1.0,2026
4.0,2.9,11.0,5.0,6296350.0,1.0,2026
2.0,3.9,13.0,4.0,5096000.0,1.0,2016
2.0,4.2,1.0,3.0,2650000.0,1.0,1994
4.0,3.8,23.0,5.04,6800000.0,1.0,2022
4.0,3.7,5.0,13.8,8510000.0,1.0,2026
2.0,2.9,2.0,4.999999999999999,2400000.0,1.0,2015
4.0,3.7,1.0,4.0,4990000.0,1.0,2025
2.0,2.5,9.0,10.0,3550000.0,1.0,2012
2.0,2.5,21.0,5.682,4602420.0,1.0,2025
2.0,2.5,3.0,6.800000000000001,3000000.0,1.0,2024
4.0,2.9,1.0,5.0,6796300.0,1.0,2026
2.0,4.0,8.0,4.44,5300000.0,1.0,2023
4.0,3.8,21.0,5.84,7600000.0,1.0,2022
4.0,2.5,10.0,5.0,6820000.0,1.0,2028
