author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
2.0,4.2,3.0,8.0,4350.0,1.0,33.0,2022
2.0,2.5,13.0,5.0,4700.0,1.0,33.9,2018
4.0,4.4,5.0,5.0,4666.0,1.0,25.72,2026
2.0,3.7,2.0,7.0,3350.0,1.0,39.0,2023
2.0,3.3,8.0,4.0,3900.0,1.0,29.2,2023
4.0,3.3,15.0,5.1,4676.0,1.0,30.5,2027
2.0,3.7,2.0,4.0,2850.0,1.0,24.0,2016
2.0,3.7,12.0,3.3,3350.0,1.0,25.0,2021
4.0,4.0,18.0,5.338000000000001,5800.0,1.0,26.69,2023
2.0,3.7,14.0,12.600000000000001,3950.0,1.0,27.3,2017
2.0,2.9,4.0,16.200000000000003,5400.0,1.0,44.7,2015
4.0,3.9,19.0,4.1,6803.0,1.0,25.3,2028
2.0,4.4,14.0,7.600000000000001,3500.0,1.0,21.6,2013
4.0,4.0,2.0,6.04,7000.0,1.0,30.2,2026
4.0,4.4,8.0,5.0,5155.0,1.0,28.18,2026
2.0,3.7,5.0,6.300000000000001,3600.0,1.0,27.3,2021
2.0,4.4,9.0,4.0,3950.0,1.0,22.4,2013
2.0,2.5,11.0,3.98,4700.0,1.0,19.9,2026
2.0,3.3,8.0,8.0,4200.0,1.0,27.6,2017
4.0,4.0,1.0,5.640000000000001,5900.0,1.0,28.2,2028
2.0,2.9,15.0,5.0,3500.0,1.0,26.0,2023
4.0,4.0,2.0,5.98,6580.0,1.0,29.9,2028
2.0,2.9,9.0,4.0,4650.0,1.0,27.0,2015
4.0,2.9,3.0,17.02,6230.0,1.0,30.32,2027
2.0,3.4,12.0,5.0,5000.0,1.0,36.0,2015
4.0,2.5,20.0,4.1,5160.0,1.0,25.84,2026
2.0,4.4,9.0,8.0,3300.0,1.0,25.0,2024
4.0,4.2,3.0,6.968000000000001,8171.0,1.0,34.84,2027
2.0,2.5,3.0,6.6000000000000005,2870.0,1.0,33.0,2020
2.0,2.5,3.0,5.0,5100.0,1.0,29.0,2026
4.0,2.9,1.0,16.51,6800.0,1.0,32.21,2027
2.0,2.5,2.0,3.0,5049.0,1.0,23.5,2024
4.0,2.5,18.0,3.8,5830.0,1.0,32.41,2026
4.0,2.9,1.0,5.0,5540.0,1.0,37.5,2025
2.0,4.0,3.0,4.14,4610.0,1.0,20.7,2028
2.0,3.7,5.0,4.0,2370.0,1.0,20.0,2017
2.0,2.5,13.0,5.032,7540.0,1.0,25.16,2026
2.0,3.7,1.0,4.699999999999999,2400.0,1.0,19.7,2017
2.0,3.7,12.0,6.740000000000001,4000.0,1.0,33.7,2021
4.0,2.9,12.0,4.558,5690.0,1.0,22.79,2026
2.0,2.5,7.0,5.0,5650.0,1.0,21.1,2024
2.0,4.0,7.0,4.260000000000001,5650.0,1.0,21.3,2025
2.0,2.5,13.0,5.0200000000000005,5750.0,1.0,25.1,2024
2.0,2.9,15.0,8.0,5750.0,1.0,37.2,2020
2.0,2.5,3.0,4.0,5780.0,1.0,26.88,2022
2.0,4.2,7.0,3.0,5790.0,1.0,28.2,2018
2.0,2.5,6.0,6.0600000000000005,5800.0,1.0,30.3,2020
2.0,3.8,13.0,3.0,5800.0,1.0,21.5,2007
2.0,3.8,11.0,7.5,5800.0,1.0,27.8,2014
2.0,2.5,17.0,5.920000000000001,5850.0,1.0,29.6,2016
2.0,2.5,15.0,3.0,5875.0,1.0,23.5,2026
2.0,2.5,17.0,5.0,5870.0,1.0,31.1,2019
2.0,3.4,14.0,17.0,5900.0,1.0,34.0,2012
2.0,3.8,13.0,4.4799999999999995,5900.0,1.0,22.4,2021
2.0,2.9,6.0,4.9,5999.0,1.0,24.5,2020
2.0,3.8,7.0,5.0,5950.0,1.0,25.0,2007
2.0,3.9,3.0,8.5,6000.0,1.0,26.5,2024
2.0,2.5,14.0,5.3,6000.0,1.0,25.26,2025
2.0,2.5,16.0,5.0,6000.0,1.0,28.3,2022
2.0,2.5,11.0,5.04,6000.0,1.0,25.2,2025
2.0,4.0,4.0,7.0,6050.0,1.0,35.0,2021
2.0,4.0,2.0,5.0,6100.0,1.0,27.7,2022
2.0,3.4,17.0,5.0,6100.0,1.0,30.0,2025
2.0,2.5,14.0,5.0,6100.0,1.0,25.0,2020
2.0,3.9,3.0,4.0,6250.0,1.0,27.7,2002
