accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Брусника;developer;sale;Дзержинский;9;9;;Новосибирск;8640000;Город-на-озере ЖК;1;;28.44;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325308740/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Калининский;14;17;66/5;Новосибирск;3580000;На Фадеева;1; Фадеева;23.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325082455/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Октябрьский;10;23;с109;Новосибирск;6820000;мкр. Европейский Берег;1;Большевистская ;32.88;Спортивная;https://novosibirsk.cian.ru/sale/flat/314646710/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Rialtor Group;real_estate_agent;sale;Затулинский жилмассив;12;27;229/2;Новосибирск;3600000;Расцветай на Зорге;1; Зорге;29.2;;https://novosibirsk.cian.ru/sale/flat/326457616/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;РайоныКварталы;real_estate_agent;sale;Ленинский;6;16;3/1;Новосибирск;3100000;;1; Невельского;25.3;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326987851/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Квартирный портал;real_estate_agent;sale;Первомайский;7;17;22/1;Новосибирск;2250000;Берёзовое;1; Твардовского;19.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/324333135/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Октябрьский;9;17;99/4;Новосибирск;3800000;;1;Выборная ;25.4;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/325329220/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Александр Штрахштейн;realtor;sale;Заельцовский;7;10;107/1;Новосибирск;3590000;Бирюзовая жемчужина-Апартаменты;-1;Сухарная ;19.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/326908445/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;МакроМир;real_estate_agent;sale;Первомайский;4;17;22/6;Новосибирск;2100000;Берёзовое;1; Твардовского;19.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326268889/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Октябрьский;5;10;13/2;Новосибирск;4150000;Плющихинский;1; Виталия Потылицына;39.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326580267/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Владис Центральное;real_estate_agent;sale;Ленинский;3;17;102/1;Новосибирск;2590000;Радуга Сибири;1; Забалуева;21.3;Студенческая;https://novosibirsk.cian.ru/sale/flat/325081700/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
