accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Планета-А;real_estate_agent;sale;Кировский;17;18;9;Новосибирск;5450000;Просторный;2; Николая Сотникова;55.1;Студенческая;https://novosibirsk.cian.ru/sale/flat/326171567/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ДомианНСК;real_estate_agent;sale;Заельцовский;2;5;47;Новосибирск;5450000;;2; Дмитрия Донского;44.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/320345650/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ID 94415442;realtor;sale;Кировский;2;9;14/1;Новосибирск;5499000;;2; Петухова;58.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325158447/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Дельта;real_estate_agent;sale;Советский;12;25;24/1;Новосибирск;5500000;Тихий берег;2;Приморская ;42.7;Студенческая;https://novosibirsk.cian.ru/sale/flat/316034750/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Кировский;14;23;105/1;Новосибирск;5590000;Матрешкин двор;2; Петухова;60.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326927494/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Ленинский;13;17;9;Новосибирск;5500000;Лето;2; Ивана Севастьянова;46.3;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/324796402/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Дзержинский;2;9;1;Новосибирск;5500000;;2; Дениса Давыдова;44.5;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/324680041/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Калининский;5;5;5;Новосибирск;5500000;;2; Богдана Хмельницкого;41.5;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323125318/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Железнодорожный;4;5;13;Новосибирск;5500000;;2;Владимировская ;45.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/315312558/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Ленинский;5;12;1;Новосибирск;5500000;;2; Связистов;46.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326320447/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Калининский;4;9;3;Новосибирск;5500000;Мкрн. Родники;2; Земнухова;53.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325034893/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Кировский;7;25;50;Новосибирск;5500000;Гвардейский;2;Беловежская ;47.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326360468/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Калининский;7;9;8/2;Новосибирск;5500000;Мкрн. Родники;2; Мясниковой;55.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324534927/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Дзержинский;9;9;15;Новосибирск;5500000;;2; Кошурникова;41.8;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/322873476/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Кировский;2;5;13;Новосибирск;5500000;;2; Сибиряков-Гвардейцев;45.3;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320510627/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Октябрьский;5;5;47;Новосибирск;5500000;;2;Гурьевская ;46.1;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/325812103/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Кировский;10;10;12;Новосибирск;5500000;Просторный;2; Николая Сотникова;63.7;Студенческая;https://novosibirsk.cian.ru/sale/flat/326172368/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Калининский;1;17;18;Новосибирск;5500000;Новые Снегири;2; Курчатова;43.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323373274/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Калининское;real_estate_agent;sale;Калининский;10;10;4;Новосибирск;5500000;Мкрн. Родники;2; Земнухова;53.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324383784/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Калининское;real_estate_agent;sale;Калининский;9;9;130/3;Новосибирск;5500000;;2; Кропоткина;42.6;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/323584107/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Ленинский;7;10;19/1;Новосибирск;5550000;;2;Широкая ;45.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322632072/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Октябрьский;2;10;54/1;Новосибирск;5500000;Плющихинский;2; В. Высоцкого;57.6;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/327021191/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Сфера;real_estate_agent;sale;Заельцовский;1;5;92;Новосибирск;5580000;;2; Кропоткина;44.0;Гагаринская;https://novosibirsk.cian.ru/sale/flat/323135122/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;МакроМир;real_estate_agent;sale;Центральный;4;5;18;Новосибирск;5500000;;2; Достоевского;46.0;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/326516106/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;АльянсРиэлт;real_estate_agent;sale;Центральный;5;5;29;Новосибирск;5500000;;2;Ипподромская ;44.5;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/323712250/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
